"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2012_平成25年度"
"","","","","","","","","","","","","",""
"1.民間最終消費支出","2091010.0","2057578.0","2053177.0","2195678.0","2258127.0","2296878.0","2348160.0","2356508.0","2258045.0","2303404.0","2387016.0","2316828.0","2464109.0"
"1.民間最終消費支出","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出","2046337.0","2015647.0","2008898.0","2153809.0","2200093.0","2237521.0","2293128.0","2303685.0","2202914.0","2244715.0","2321269.0","2244119.0","2390004.0"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_a．食料・非アルコール飲料","331657.0","329967.0","327062.0","324081.0","321733.0","321864.0","324602.0","318210.0","290477.0","289180.0","291018.0","284783.0","290861.0"
"1.民間最終消費支出_(1)家計最終消費支出_b．アルコール飲料・たばこ","76625.0","71548.0","69106.0","72636.0","75495.0","70966.0","70987.0","70675.0","57787.0","57172.0","53150.0","48253.0","49064.0"
"1.民間最終消費支出_(1)家計最終消費支出_c．被服・履物","81513.0","74698.0","74156.0","74172.0","70982.0","73642.0","73841.0","74543.0","69694.0","65521.0","67783.0","66911.0","71311.0"
"1.民間最終消費支出_(1)家計最終消費支出_d．住居・電気・ガス・水道","479652.0","481359.0","483644.0","503599.0","518211.0","529602.0","545088.0","558083.0","564230.0","574082.0","579795.0","583693.0","598046.0"
"1.民間最終消費支出_(1)家計最終消費支出_e．家具・家庭用機器・家事サービス","78911.0","74553.0","82446.0","95441.0","99227.0","99151.0","109229.0","110826.0","94892.0","99572.0","118042.0","115458.0","147337.0"
"1.民間最終消費支出_(1)家計最終消費支出_f．保健・医療","57115.0","55705.0","56999.0","55354.0","54602.0","52293.0","53129.0","52634.0","52508.0","52190.0","53049.0","51560.0","53874.0"
"1.民間最終消費支出_(1)家計最終消費支出_g．交通","228975.0","223333.0","221281.0","237411.0","246631.0","236464.0","245658.0","230162.0","230140.0","215431.0","211388.0","213884.0","225088.0"
"1.民間最終消費支出_(1)家計最終消費支出_h．通信","46998.0","45000.0","43665.0","60842.0","63154.0","66150.0","70165.0","70539.0","73415.0","74091.0","74907.0","74626.0","80594.0"
"1.民間最終消費支出_(1)家計最終消費支出_i．娯楽・レジャー・文化","189311.0","181111.0","179163.0","218864.0","226714.0","238645.0","254560.0","272792.0","287741.0","357297.0","410244.0","345706.0","376640.0"
"1.民間最終消費支出_(1)家計最終消費支出_j．教育","40583.0","42501.0","47721.0","56664.0","53165.0","55285.0","53643.0","51449.0","35828.0","29164.0","29869.0","29249.0","28853.0"
"1.民間最終消費支出_(1)家計最終消費支出_k．外食・宿泊","154249.0","144463.0","141930.0","152015.0","149243.0","151079.0","155493.0","155016.0","138278.0","134137.0","133412.0","129356.0","142410.0"
"1.民間最終消費支出_(1)家計最終消費支出_l．その他","280747.0","291409.0","281726.0","302730.0","320934.0","342380.0","336732.0","338755.0","307923.0","296879.0","298611.0","300639.0","325925.0"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_（再掲）","","","","","","","","","","","","",""
