"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2012_平成25年度"
"","","","","","","","","","","","","",""
"1.民間最終消費支出","－","-1.4","-0.6355244351119609","-0.4812191437513036","-0.7945053968171436","-0.36730828688813233","-0.8834459480080739","-0.15537397665291053","-3.2395677375762233","-4.1174767579988725","-2.5823541424855705","1.6322228568153747","-1.3409413866508686"
"1.民間最終消費支出","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出","－","-1.2","-0.5888125613346489","-0.6910167818361259","-0.6958250497017815","-0.6006006006006146","-0.604229607250744","-0.7092198581560325","-3.6734693877551052","-4.343220338983059","-0.8859357696566974","0.8938547486033457","-1.2181616832779554"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_a．食料・非アルコール飲料","－","-1.4","-0.3940886699507473","0.4945598417408519","-1.5748031496062964","0.20000000000000284","0.0","2.9940119760479007","-0.19379844961240167","-1.7475728155339851","-0.39525691699606114","-0.19841269841269593","0.0"
"1.民間最終消費支出_(1)家計最終消費支出_b．アルコール飲料・たばこ","－","-0.6","1.6546018614270963","1.7293997965412018","0.0","1.5999999999999943","2.1653543307086522","0.9633911368015475","-0.3816793893129784","1.8199233716474907","12.323612417685808","-0.5862646566164216","-0.7582139848357201"
"1.民間最終消費支出_(1)家計最終消費支出_c．被服・履物","－","-1.8","-1.1857707509881408","-0.29999999999999716","0.3009027081243687","0.7999999999999972","0.39682539682539186","0.4940711462450622","-0.2949852507374544","-1.7751479289940875","-0.40160642570280913","0.30241935483870463","0.30150753768845107"
"1.民間最終消費支出_(1)家計最終消費支出_d．住居・電気・ガス・水道","－","-1.0","-0.87890625","-0.8866995073891673","-0.5964214711729596","-0.09999999999999432","-0.8008008008008147","-0.10090817356204695","-1.6161616161616195","-1.026694045174537","-0.5186721991701262","-0.20855057351407424","-0.417972831765951"
"1.民間最終消費支出_(1)家計最終消費支出_e．家具・家庭用機器・家事サービス","－","-4.8","-4.324801412180051","-4.520295202952028","-3.381642512077292","-2.799999999999997","-2.9835390946502116","-2.2269353128313867","-5.314533622559665","-9.278350515463913","-9.848484848484844","-8.68347338935574","-7.361963190184056"
"1.民間最終消費支出_(1)家計最終消費支出_f．保健・医療","－","-1.3","-0.6876227897838874","-0.8902077151335135","-0.19960079840319622","-1.0","-0.20202020202020776","0.1012145748988047","0.9100101112234427","0.20040080160322304","-0.4000000000000057","-0.20080321285139746","-0.20120724346077168"
"1.民間最終消費支出_(1)家計最終消費支出_g．交通","－","-1.1","0.4166666666666714","1.1410788381742663","2.564102564102555","1.700000000000017","0.9832841691248717","3.5053554040895847","-5.926622765757287","1.7999999999999972","2.455795677799614","0.0","1.1505273250239583"
"1.民間最終消費支出_(1)家計最終消費支出_h．通信","－","-1.5","-0.28653295128940215","-1.0536398467433088","-3.194578896418193","-3.700000000000003","-2.3883696780892905","-0.2127659574468197","-0.319829424307045","-0.8556149732620355","-0.21574973031283662","-0.3243243243243228","-0.5422993492407784"
"1.民間最終消費支出_(1)家計最終消費支出_i．娯楽・レジャー・文化","－","-4.4","-2.8003613369467075","-3.0669144981412586","-4.122722914669225","-4.599999999999994","-4.821802935010481","-6.828193832599126","-12.647754137115825","-21.92151556156969","-13.864818024263428","13.682092555331991","-3.5398230088495666"
"1.民間最終消費支出_(1)家計最終消費支出_j．教育","－","-1.1","-1.3618677042801437","-1.0848126232741606","-0.2991026919242188","-0.20000000000000284","-0.40080160320640346","0.20120724346075747","-2.710843373493958","-1.9607843137254974","-1.05263157894737","-0.8510638297872362","0.0"
"1.民間最終消費支出_(1)家計最終消費支出_k．外食・宿泊","－","-0.1","0.3027245206861835","0.6036217303822866","0.0","0.4999999999999858","0.6965174129353215","1.1857707509881408","0.09765625","-0.19512195121950526","-0.2932551319648127","0.19607843137254122","0.1956947162426559"
"1.民間最終消費支出_(1)家計最終消費支出_l．その他","－","0.6","0.2991026919242188","-0.3976143141153017","-0.19960079840319622","0.4000000000000057","-1.1952191235059786","-0.6048387096774235","-1.7241379310344769","0.412796697626419","-0.308324768756421","-1.3402061855670127","-1.1494252873563369"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_（再掲）","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_家計最終消費支出(除く持ち家の帰属家賃)","－","-1.5","-0.5773798450027385","-0.35391306075763396","-0.8191887515883138","-0.26753703996492106","-0.8562190776608958","0.033874489135172325","-3.6913167775656177","-4.970112009415928","-3.013237508087812","2.3767408048061895","-1.3891064186784945"
"1.民間最終消費支出_(1)家計最終消費支出_持ち家の帰属家賃","－","-0.9","-0.8754863813229576","-1.0794896957801825","-0.7936507936507837","-1.0","-1.1111111111111143","-0.9193054136874395","-1.13402061855669","-1.0427528675703854","-1.1591148577450099","-1.172707889125789","-1.294498381877034"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(2)対家計民間非営利団体最終消費支出","－","-2.3","-0.9881422924901244","-0.5988023952095887","0.3012048192771175","0.7007007007006933","0.0","-0.5964214711729596","-3.9000000000000057","-0.8324661810613918","-0.3147953830010408","-0.9473684210526443","0.5313496280552528"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_(2)対家計民間非営利団体最終消費支出","－","-1.7","-1.2770137524557867","-0.4975124378109399","0.09999999999999432","-0.8991008991008869","0.20161290322579362","0.10060362173037163","-1.2060301507537616","-0.5086469989827123","0.0","-0.6134969325153321","-0.20576131687242594"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_(1)国出先機関","－","-1.7","-1.2770137524557867","-0.4975124378109399","0.09999999999999432","-0.8991008991008869","0.20161290322579362","0.10060362173037163","-1.2060301507537616","-0.5086469989827123","0.0","-0.6134969325153321","-0.20576131687242594"
"2.政府最終消費支出_(2)和歌山県","－","-1.7","-1.2770137524557867","-0.4975124378109399","0.09999999999999432","-0.8991008991008869","0.20161290322579362","0.10060362173037163","-1.2060301507537616","-0.5086469989827123","0.0","-0.6134969325153321","-0.20576131687242594"
"2.政府最終消費支出_(3)県内市町村","－","-1.7","-1.2770137524557867","-0.4975124378109399","0.09999999999999432","-0.8991008991008869","0.20161290322579362","0.10060362173037163","-1.2060301507537616","-0.5086469989827123","0.0","-0.6134969325153321","-0.20576131687242594"
"2.政府最終消費支出_(4)社会保障基金","－","-1.7","-1.2770137524557867","-0.4975124378109399","0.09999999999999432","-0.8991008991008869","0.20161290322579362","0.10060362173037163","-1.2060301507537616","-0.5086469989827123","0.0","-0.6134969325153321","-0.20576131687242594"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_（再掲）","","","","","","","","","","","","",""
"2.政府最終消費支出_家計現実最終消費","－","-1.5","-0.7262503085951408","-0.5337508950405123","-0.6364392845982252","-0.505334892998718","-0.7021686335791628","-0.12727521541617648","-2.7025301552143475","-3.3596928596187468","-2.0739234573212713","1.271124965210177","-1.2032530375885955"
"2.政府最終消費支出_政府現実最終消費","－","-1.6","-1.4763779527558967","-0.09990009990009696","0.09999999999999432","-0.499500499500499","0.3012048192771175","0.3003003003003073","-2.5948103792415367","-1.0245901639344197","-0.1035196687370501","-1.1398963730569989","-0.20964360587002773"
"","","","","","","","","","","","","",""
"3.総資本形成","－","-0.3","-0.8340545547701197","-0.35065338158254633","-0.807418037629219","1.0726759930507654","-0.19725297102719708","2.4216530680802606","-3.7691990482380078","-1.8414048789535258","1.5094036217420808","0.9708950187888377","-0.7147877131343989"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成","－","-1.7","-0.9607494106537615","-0.14401343301149439","0.3819287586823208","0.510738439562104","0.47400034742948094","0.957904792367998","-2.837050737515227","-1.591046897319174","-0.140495653446024","0.1267438027684875","1.7598240477199454"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_a．民間","－","-2.0","-1.5525128953069043","-0.7100720467524866","-0.14386224881565113","0.19304170989231295","0.029488735509588082","0.4198216389972913","-3.3006425444911827","-2.0874937377029426","-0.5729416600038633","0.309964862620987","0.7662137153005233"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_(a)住宅","－","-1.0","0.40609137055838573","0.6066734074823046","0.8040201005025125","1.9940179461615202","1.8572825024437947","2.1113243761996046","-3.195488721804523","0.09708737864077932","0.5819592628516119","-0.7714561234329835","2.7210884353741562"
"3.総資本形成_(1)総固定資本形成_(b)企業設備","－","-2.5","-2.0270270270270174","-1.0837438423645267","-0.39840637450200234","-0.20000000000000284","-0.20040080160320883","0.0","-3.212851405622473","-2.489626556016603","-0.7446808510638334","0.6430868167202703","0.10649627263043726"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_b．公的","－","-1.7","0.05616096022220063","0.6147146659386067","1.3574106718548364","1.4464128098055937","1.9434503698585956","3.0195496593253353","-3.6542637931855353","-0.016628243736761306","0.8211987950503215","-0.2952346124510683","1.7873675209159217"
"","","","","","","","","","","","","",""
"3.総資本形成_(1)総固定資本形成_(a)住宅","－","-0.9","0.5102040816326507","0.812182741116743","1.0070493454179257","1.894317048853452","1.8590998043052736","2.593659942363118","-3.3707865168539257","0.09689922480620794","0.6776379477250885","-0.8653846153846274","2.2308438409311577"
"3.総資本形成_(1)総固定資本形成_(b)企業設備","－","-1.5","0.20325203252031088","0.6085192697768775","1.209677419354847","1.095617529880471","1.3793103448275872","2.5267249757045676","-3.412322274881504","-0.6869479882237499","0.4940711462450622","-0.09832841691249428","1.1811023622047259"
"3.総資本形成_(1)総固定資本形成_(c)一般政府","－","-1.7","0.0","0.6091370558375644","1.412714429868828","1.492537313432834","2.058823529411754","2.977905859750237","-3.358208955223887","-0.09652509652508456","0.8695652173912976","-0.2873563218390984","1.7291066282420786"
"","","","","","","","","","","","","",""
"3.総資本形成_(2)在庫品増加","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"3.総資本形成_(2)在庫品増加_a．民間企業","－","45.2","-16.815119351169145","25.450764014934535","-28.201736195432446","40.298738831313926","-69.70373520243608","357.89834773340425","-15.524547968992849","12.625558594566996","12.17131595568371","14.306760413233576","-22.01517470423387"
"3.総資本形成_(2)在庫品増加_b．公的","－","5.0","-13.080684596577015","19.127988748241933","25.619834710743802","-1.7857142857142918","30.334928229665053","-41.776798825256975","33.79571248423707","17.436380772855784","12.520064205457459","4.35092724679032","2.6657552973342433"
"3.総資本形成_(2)在庫品増加_（公的企業・一般政府）","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(2)在庫品増加","－","-32.4","-54.84907103656423","-12.491614419679124","3.141821678123165","8.213031285641833","1.3649081388197146","-7.556774710291208","3.526488086342127","-25.0698156183812","39.64794965494826","24.717932428959585","-12.970145997222517"
"","","","","","","","","","","","","",""
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(1)財貨・サ－ビスの移出入(純)","－","-9.1","-66.74372390889624","-49.32117994132914","29.26388188112213","-3.269424822283497","-12.165135550467227","6.467718114156256","49.15381638428232","-39.914895345459314","87.43565787489942","20.724475064558362","-10.76202089878683"
"4.財貨･ｻｰﾋﾞｽの移出入(純)・統計上の不突合_(2)統計上の不突合","－","-0.3","2.0694146474638586","1.1055643487129174","-1.5281991080979225","-0.5271131233273678","0.056267409926221035","2.046422968808372","-4.245409437417408","-2.434302687089186","-2.819505649831086","-0.5344162897360292","-0.055184684156955655"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"5.(1+2+3+4)県内総生産(支出側､市場価格)_(2)統計上の不突合","－","-0.3","2.069412813395857","1.1055643849919647","-1.5281774217286426","-0.5271161312148962","0.0562487776375491","2.0464304911270546","-4.24541739807141","-2.4342776950116445","-2.8195243728773107","-0.5343994878727472","-0.05520515129767034"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"6.県外からの所得(純)","－","-0.3","2.069412813395857","1.1055643849919647","-1.5281774217286426","-0.5271161312148962","0.0562487776375491","2.0464304911270546","-4.24541739807141","-2.4342776950116445","-2.8195243728773107","-0.5343994878727472","-0.05520515129767034"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"7.(5+6)県民総所得(市場価格)","－","-0.3","2.0693991410484216","1.1055802225742468","-1.5281815475256622","-0.5271141917933164","0.05624824133265349","2.046432550135009","-4.245427877840129","-2.4342659348285878","-2.819545098233931","-0.534394533209408","-0.05519296688866859"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"(1+2+3)(参考)県内需要(注)","－","-1.2","-0.8182129598897347","-0.44951751416073193","-0.6079003597129002","-0.17597572783186877","-0.49864440167132784","0.40650270117828313","-2.9373154517797673","-2.8862121313259763","-1.0962889496810675","1.2563762724220595","-1.099783664888463"
